carrera,institucion,acreditacion_institucion,acreditacion_carrera,periodo_acreditacion_carrera,Desde ,Hasta ,Enlace,Documento_Acreditador
Diseño,UNIVERSIDAD DE VIÑA DEL MAR,4 años,3 años,2015 - 2018,2015,2018,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N40%20Diseno%20Grafico%20U%20Vina%20del%20Mar.pdf,Acuerdo
Diseño Gráfico Publicitario,IP LOS LEONES,no acreditada,3 años,2016 -  2019,2016,2019,S/I,No Acreditada
Diseño Gráfico,IP SANTO TOMAS,3 años,4 años,2016 - 2020,2016,2020,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA214-Dise%C3%B1o-Gr%C3%A1fico-IPST.pdf,Acuerdo
Diseño Gráfico,IP SANTO TOMAS,3 años,4 años,2016 - 2020,2016,2020,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA214-Dise%C3%B1o-Gr%C3%A1fico-IPST.pdf,Acuerdo
Diseño Gráfico,IP SANTO TOMAS,3 años,4 años,2016 - 2020,2016,2020,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA214-Dise%C3%B1o-Gr%C3%A1fico-IPST.pdf,Acuerdo
Diseño Gráfico,IP SANTO TOMAS,3 años,4 años,2016 - 2020,2016,2020,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA214-Dise%C3%B1o-Gr%C3%A1fico-IPST.pdf,Acuerdo
Diseño Gráfico,IP SANTO TOMAS,3 años,4 años,2016 - 2020,2016,2020,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA214-Dise%C3%B1o-Gr%C3%A1fico-IPST.pdf,Acuerdo
Diseño Gráfico,IP SANTO TOMAS,3 años,4 años,2016 - 2020,2016,2020,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA214-Dise%C3%B1o-Gr%C3%A1fico-IPST.pdf,Acuerdo
Diseño Mención Comunicación/Equipamiento,UNIVERSIDAD DE LA SERENA,4 años,4 años,2016 - 2020,2016,2020,http://www.acreditaccion.cl/dictamenes/Resolucion_de_Acreditacion_N583_Diseno_ULS.pdf,Acuerdo
Diseño Gráfico,UNIVERSIDAD CATOLICA DE TEMUCO,4 años ,4 años,2016 - 2020,2016,2020,http://www.acreditadoradechile.cl/wp-content/uploads/2017/03/Acuerdo-N%C2%BA464.pdf,Acuerdo
