carrera,institucion,sede,direccion,web,coordenadas,enlace
Diseño,IP DE CHILE,Sede República,"Av. República 285, Santiago, Santiago",http://www.ipchile.cl/carreras/diseno,https://goo.gl/maps/pZ2wjQGJ5Hy,http://www.ipchile.cl
Diseño,UNIVERSIDAD ADOLFO IBAÑEZ,Campus Peñalolén,"Diagonal Las Torres 2640, Peñalolén, Santiago",http://www.uai.cl/carreras/diseno,https://goo.gl/maps/wXhnTnu1ABC2,http://www.uai.cl
Diseño,UNIVERSIDAD CATÓLICA,Campus Lo Contador,"El Comendador 1916, Providencia, Santiago",http://diseno.uc.cl/,https://goo.gl/maps/wuDiPabzKWM2,http://diseno.uc.cl
Diseño,UNIVERSIDAD DE TALCA,Campus Talca,"2 Nte. 685, Talca",http://admision.utalca.cl/carreras/diseno.html,https://goo.gl/maps/9FhpdpwK1LT2,http://admision.utalca.cl
Diseño,UNIVERSIDAD DEL DESARROLLO,Campus San Carlos de Apoquindo,"Av. Plaza 680, Las Condes, Santiago",http://diseno.udd.cl/,https://goo.gl/maps/PMXCCK9F6yt,http://diseno.udd.cl
Diseño,UNIVERSIDAD DEL DESARROLLO,Campus Ainavillo,"Ainavillo 456, Concepción",http://diseno.udd.cl/carrera/diseno/equipo/concepcion/,https://goo.gl/maps/3iricQYH1v42,http://diseno.udd.cl
Diseño,UNIVERSIDAD DIEGO PORTALES,Edificio Aulario,"Av. República 180, Santiago, Santiago",http://diseno.udp.cl/,https://goo.gl/maps/QySGDyfnBPk,http://diseno.udp.cl
Diseño,UNIVERSIDAD FINIS TERRAE,Campus Universitario Avenida Pedro de Valdivia,"Av. Pedro de Valdivia 1224, Providencia, Santiago",http://fad.uft.cl/escuela-de-diseno,https://goo.gl/maps/rL99b1eKfwH2,http://fad.uft.cl
"Diseño Crossmedia en Gráfica, Web y Video Digital",UNIVERSIDAD GABRIELA MISTRAL,Sede Santiago,"Av. Ricardo Lyon 1177, Providencia, Santiago",http://www.ugm.cl/dcm/carrera/perfil/,https://goo.gl/maps/ob4vvX2aohS2,http://www.ugm.cl
Diseño de Ambiente,IP DUOC UC,Sede Alameda,"Av. España 8, Santiago, Santiago",http://www.duoc.cl/carrera/diseno-de-ambientes,https://goo.gl/maps/FVMeDEbkjSK2,http://www.duoc.cl
Diseño de Ambiente,IP DUOC UC,Sede San Carlos de Apoquindo,"Camino El Alba 12881, Las Condes, Santiago",http://www.duoc.cl/carrera/diseno-de-ambientes,https://goo.gl/maps/mGKXbqDXB362,http://www.duoc.cl
Diseño de Imagen Especialidad Moda,UNIACC,Campus Providencia,"Av. Salvador 1200, Providencia, Santiago",http://www.uniacc.cl/diseno-grafico-diurno/,https://goo.gl/maps/mPP4ZYoTFmQ2,http://www.uniacc.cl
Diseño de Interiores,UNIVERSIDAD DEL PACÍFICO,Sede Las Condes,"Av. Las Condes 11121, Las Condes, Santiago",http://web.upacifico.cl/noticias/categoria/carreras/diseno-de-interiores/,https://goo.gl/maps/iGZxnUcfD3y,http://web.upacifico.cl
Diseño de Juegos Digitales,UNIVERSIDAD ANDRÉS BELLO,Campus Casona Las Condes,"Fernández Concha 700, Las Condes, Santiago",https://campuscreativo.cl/carreras/diseno-de-juegos-digitales/,https://goo.gl/maps/UcXbWpMxxG92,https://campuscreativo.cl
Diseño de Moda,IP INACAP,INACAP La Serena,"Francisco de Aguirre 389, La Serena",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-de-moda,https://goo.gl/maps/xYCViztreYA2,http://portales.inacap.cl
Diseño de Moda,IP INACAP,INACAP Apoquindo,"Apoquindo Ote. 7282, Las Condes, Santiago",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-de-moda,https://goo.gl/maps/TxmpiBtgXEk,http://portales.inacap.cl
Diseño de Moda,IP INACAP,INACAP Temuco,"Luis Durand 2150, Temuco",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-de-moda,https://goo.gl/maps/mW2vgtQBqEm,http://portales.inacap.cl
Diseño de Vestuario,IP DUOC UC,Sede San Carlos de Apoquindo,"Camino El Alba 12881, Las Condes, Santiago",http://www.duoc.cl/carrera/diseno-de-vestuario,https://goo.gl/maps/mGKXbqDXB362,http://www.duoc.cl
Diseño de Vestuario Profesional Mención Alta Costura,IP AIEP,Sede Providencia,"Triana 820, Providencia, Santiago",http://admision.aiep.cl/carreras-tecnicas/tecnico-en-diseno-de-vestuario/,https://goo.gl/maps/Jg3tz5Pj7222,http://admision.aiep.cl
Diseño de Vestuario y Textil,UNIVERSIDAD ANDRÉS BELLO,Campus Casona Las Condes,"Fernández Concha 700, Las Condes,  Metropolitana, Chile",http://www.unab.cl/admision/carreras/diseno-vestuario-textil/,https://goo.gl/maps/aYJZ2jcyLey,http://www.unab.cl
"Diseño de Vestuario, Moldaje y Confección",CFT DE ENSEÑANZA DE ALTA COSTURA PAULINA DIARD,Sede Santiago,"Santo Domingo 1083, Santiago, Santiago",http://www.paulinadiard.cl/,https://goo.gl/maps/r5Pp8dbCznT2,http://www.paulinadiard.cl
Diseño en Comunicación Visual,UNIVERSIDAD TECNOLÓGICA METROPOLITANA,Campus Área Central,"Dieciocho 161, Santiago, Santiago",http://repositorio.utem.cl/handle/30081993/113,https://goo.gl/maps/skAhbWG2G8s,http://repositorio.utem.cl
Diseño Gráfico,IP AIEP,Sede Barrio Universitario,"Av. Ejército Libertador 49, Santiago, Santiago",http://www.aiep.cl/carrera/diseno-grafico/43/,https://goo.gl/maps/HJ64jAkYA452,http://www.aiep.cl
Diseño Gráfico,IP AIEP,Sede Providencia,"Triana 820, Providencia, Santiago",http://www.aiep.cl/carrera/diseno-grafico/43/,https://goo.gl/maps/Jg3tz5Pj7222,http://www.aiep.cl
Diseño Gráfico,IP AIEP,Sede Rancagua,"Cuevas 70, Rancagua",http://www.aiep.cl/carrera/diseno-grafico/43/,https://goo.gl/maps/rcv14yQrdvw,http://www.aiep.cl
Diseño Gráfico,IP AIEP,Sede Concepción,"Barros Arana 302, Concepción",http://www.aiep.cl/carrera/diseno-grafico/43/,https://goo.gl/maps/8BqfJKJjWXt,http://www.aiep.cl
